site0016,id_sample,depth,est_age,sed_rate,quant,conc,influx,xst_level,conc_source,influx_source
   1,      7656,    0.1500,     1.020,      0.061,  23.6000    ,  23.6000    ,  1.44874    , "CONC", "data                      ", "calculated_from_conc      "
   2,      7657,    0.1600,    17.310,      0.057,  26.4000    ,  26.4000    ,  1.51550    , "CONC", "data                      ", "calculated_from_conc      "
   3,      7658,    0.1700,    35.860,      0.054,  16.8000    ,  16.8000    , 0.906394    , "CONC", "data                      ", "calculated_from_conc      "
   4,      7659,    0.1800,    54.380,      0.054,  19.6000    ,  19.6000    ,  1.05889    , "CONC", "data                      ", "calculated_from_conc      "
   5,      7660,    0.1900,    72.880,      0.054,  41.2000    ,  41.2000    ,  2.22884    , "CONC", "data                      ", "calculated_from_conc      "
   6,      7661,    0.2000,    91.350,      0.054,  28.0000    ,  28.0000    ,  1.51720    , "CONC", "data                      ", "calculated_from_conc      "
   7,      7662,    0.2100,   109.790,      0.054,  39.6000    ,  39.6000    ,  2.14925    , "CONC", "data                      ", "calculated_from_conc      "
   8,      7663,    0.2200,   128.200,      0.054,  36.8000    ,  36.8000    ,  2.00054    , "CONC", "data                      ", "calculated_from_conc      "
   9,      7664,    0.2300,   146.580,      0.054,  54.8000    ,  54.8000    ,  2.98312    , "CONC", "data                      ", "calculated_from_conc      "
  10,      7665,    0.2400,   164.940,      0.055,  43.6000    ,  43.6000    ,  2.37667    , "CONC", "data                      ", "calculated_from_conc      "
  11,      7666,    0.2500,   183.270,      0.055,  32.4000    ,  32.4000    ,  1.76904    , "CONC", "data                      ", "calculated_from_conc      "
  12,      7667,    0.2600,   201.570,      0.055,  25.6000    ,  25.6000    ,  1.40006    , "CONC", "data                      ", "calculated_from_conc      "
  13,      7668,    0.2700,   219.840,      0.055,  27.2000    ,  27.2000    ,  1.48959    , "CONC", "data                      ", "calculated_from_conc      "
  14,      7669,    0.2800,   238.090,      0.055,  23.2000    ,  23.2000    ,  1.27263    , "CONC", "data                      ", "calculated_from_conc      "
  15,      7670,    0.2900,   256.300,      0.055,  18.4000    ,  18.4000    ,  1.01099    , "CONC", "data                      ", "calculated_from_conc      "
  16,      7671,    0.3000,   274.490,      0.055,  10.4000    ,  10.4000    , 0.572214    , "CONC", "data                      ", "calculated_from_conc      "
  17,      7672,    0.3100,   292.650,      0.055,  19.2000    ,  19.2000    ,  1.05785    , "CONC", "data                      ", "calculated_from_conc      "
  18,      7673,    0.3200,   310.790,      0.055,  29.6000    ,  29.6000    ,  1.63356    , "CONC", "data                      ", "calculated_from_conc      "
  19,      7674,    0.3300,   328.890,      0.055,  40.4000    ,  40.4000    ,  2.23328    , "CONC", "data                      ", "calculated_from_conc      "
  20,      7675,    0.3400,   346.970,      0.055,  38.4000    ,  38.4000    ,  2.12566    , "CONC", "data                      ", "calculated_from_conc      "
  21,      7676,    0.3500,   365.020,      0.055,  31.6000    ,  31.6000    ,  1.75215    , "CONC", "data                      ", "calculated_from_conc      "
  22,      7677,    0.3600,   383.040,      0.056,  34.4000    ,  34.4000    ,  1.91058    , "CONC", "data                      ", "calculated_from_conc      "
  23,      7678,    0.3700,   401.030,      0.056,  44.0000    ,  44.0000    ,  2.44716    , "CONC", "data                      ", "calculated_from_conc      "
  24,      7679,    0.3800,   419.000,      0.056,  58.4000    ,  58.4000    ,  3.25257    , "CONC", "data                      ", "calculated_from_conc      "
  25,      7680,    0.3900,   436.940,      0.056,  43.2000    ,  43.2000    ,  2.41005    , "CONC", "data                      ", "calculated_from_conc      "
  26,      7681,    0.4000,   454.850,      0.056,  26.4000    ,  26.4000    ,  1.47527    , "CONC", "data                      ", "calculated_from_conc      "
  27,      7682,    0.4100,   472.730,      0.056,  28.0000    ,  28.0000    ,  1.56731    , "CONC", "data                      ", "calculated_from_conc      "
  28,      7683,    0.4200,   490.580,      0.056,  31.2000    ,  31.2000    ,  1.74888    , "CONC", "data                      ", "calculated_from_conc      "
  29,      7684,    0.4300,   508.410,      0.056,  50.0000    ,  50.0000    ,  2.80662    , "CONC", "data                      ", "calculated_from_conc      "
  30,      7685,    0.4400,   526.210,      0.056,  32.4000    ,  32.4000    ,  1.82176    , "CONC", "data                      ", "calculated_from_conc      "
